Episode55 TotalReward=-254.3890780619523 AverageLoss=14.2705486045 AverageValue=[[-3.82463694 -3.80500531]]
Episode56 TotalReward=-46.64000000000001 AverageLoss=10.2107993279 AverageValue=[[-5.65394211 -5.74033165]]
Episode57 TotalReward=-36.75999999999999 AverageLoss=23.9150798485 AverageValue=[[-7.76871395 -7.92135525]]
Episode58 TotalReward=-51.08000000000001 AverageLoss=7.01896392006 AverageValue=[[-2.85625291 -2.83111453]]
Episode59 TotalReward=-40.31622963710812 AverageLoss=31.4363007373 AverageValue=[[-6.66306496 -6.76530743]]
Episode60 TotalReward=-20.771492365706237 AverageLoss=23.3690413722 AverageValue=[[-6.38880873 -6.34028435]]
Episode61 TotalReward=-123.58502095101854 AverageLoss=38.4442389437 AverageValue=[[-5.57907009 -5.61575079]]
Episode62 TotalReward=-139.5320108662313 AverageLoss=24.4742220273 AverageValue=[[-6.78634739 -6.77904034]]
Episode63 TotalReward=-80.48782508157112 AverageLoss=25.3216483621 AverageValue=[[-8.81069374 -8.84823036]]
Episode64 TotalReward=-39.19999999999999 AverageLoss=32.7261919111 AverageValue=[[-2.09400415 -1.99542928]]
Episode65 TotalReward=-6.48358866481861 AverageLoss=10.7565134566 AverageValue=[[-6.55646276 -6.46733046]]
Episode66 TotalReward=-38.71999999999999 AverageLoss=25.3636325561 AverageValue=[[-5.79063272 -5.78129768]]
Episode67 TotalReward=-208.75231170386897 AverageLoss=15.7284301747 AverageValue=[[-12.33955574 -12.23145103]]
Episode68 TotalReward=-46.15 AverageLoss=24.9941232949 AverageValue=[[-11.04968739 -11.03905964]]
Episode69 TotalReward=-40.43279240291198 AverageLoss=3.49350053469 AverageValue=[[-5.80356979 -5.97022486]]
Episode70 TotalReward=-160.3780566410655 AverageLoss=18.9038425319 AverageValue=[[-13.30156326 -13.22440052]]
Episode71 TotalReward=387.00562233475375 AverageLoss=20.2429501994 AverageValue=[[ 0.74419367  0.44040552]]
Episode72 TotalReward=-47.58000000000001 AverageLoss=10.7646686155 AverageValue=[[-14.75555801 -14.52462292]]
Episode73 TotalReward=-154.70280062943155 AverageLoss=18.7844641216 AverageValue=[[-6.82927704 -6.86939859]]
Episode74 TotalReward=-44.7 AverageLoss=52.8479839077 AverageValue=[[-7.87398767 -8.0089674 ]]
Episode75 TotalReward=15.680693839585034 AverageLoss=23.0580859825 AverageValue=[[-4.62546778 -4.60520458]]
Episode76 TotalReward=-39.65999999999999 AverageLoss=19.8747651924 AverageValue=[[-3.85563064 -3.94451094]]
Episode77 TotalReward=-69.09046054640812 AverageLoss=44.2350594254 AverageValue=[[-5.07241201 -5.13239479]]
Episode78 TotalReward=-100.25398283269253 AverageLoss=28.0553709675 AverageValue=[[-10.392869   -10.35851955]]
Episode79 TotalReward=-65.41940062203203 AverageLoss=27.5848990375 AverageValue=[[-10.75907803 -10.76856995]]
Episode80 TotalReward=-257.49912688600995 AverageLoss=21.8286304151 AverageValue=[[-12.51481056 -12.49890614]]
Episode81 TotalReward=-59.51000000000003 AverageLoss=34.7243627771 AverageValue=[[-4.17713118 -4.16479349]]
Episode82 TotalReward=-39.17999999999999 AverageLoss=30.7950154528 AverageValue=[[-8.33613396 -8.30783749]]
Episode83 TotalReward=-38.805476552927686 AverageLoss=27.1220354386 AverageValue=[[-17.92692947 -17.79628372]]
Episode84 TotalReward=-223.6061610128464 AverageLoss=20.8869926226 AverageValue=[[-11.09959221 -11.12125492]]
Episode85 TotalReward=-131.34679035636935 AverageLoss=37.3836061375 AverageValue=[[-8.40030479 -8.42282581]]
Episode86 TotalReward=-160.64315990991244 AverageLoss=23.8025630903 AverageValue=[[-11.19585228 -11.18046761]]
Episode87 TotalReward=-380.23543418190116 AverageLoss=11.512212986 AverageValue=[[-5.5279932  -5.50248766]]
Episode88 TotalReward=-71.15263802529164 AverageLoss=17.041572657 AverageValue=[[-8.70427513 -8.68410492]]
Episode89 TotalReward=-22.769999999999992 AverageLoss=43.3217052072 AverageValue=[[-0.0512767  -0.13009028]]
Episode90 TotalReward=-41.68 AverageLoss=10.1190368783 AverageValue=[[-13.60638046 -13.38060093]]
Episode91 TotalReward=-38.669999999999995 AverageLoss=15.1808268217 AverageValue=[[-5.9156003  -5.95033789]]
Episode92 TotalReward=-39.68999999999998 AverageLoss=10.8756719508 AverageValue=[[-7.13262939 -7.08415413]]
Episode93 TotalReward=-149.92031877663294 AverageLoss=28.2318407707 AverageValue=[[-10.3174324  -10.30945873]]
Episode94 TotalReward=-39.66 AverageLoss=38.4290977426 AverageValue=[[-9.40481853 -9.43741035]]
